,clouds,fog_bool,humidity,hurricane_bool,lat,lon,pres,rain,rain_bool,snow,snow_bool,status,storm_bool,sun_bool,temp,time,tornado_bool,visibility,wind_deg,wind_speed
51,48,False,45,False,40.98077,-117.72714,854.86,0.0,False,0,False,scattered clouds,False,False,3.13,2016-10-10 09:00:00+00,False,,235.0,1.56
52,48,False,45,False,41.00019,-117.55918,854.86,0.0,False,0,False,scattered clouds,False,False,3.13,2016-10-10 09:00:00+00,False,,235.0,1.56
53,48,False,45,False,40.92939,-117.41694,854.86,0.0,False,0,False,scattered clouds,False,False,3.13,2016-10-10 09:00:00+00,False,,235.0,1.56
54,48,False,45,False,40.90823,-117.32117,854.86,0.0,False,0,False,scattered clouds,False,False,3.13,2016-10-10 09:00:00+00,False,,235.0,1.56
55,20,False,45,False,40.8117,-117.15442,859.4,0.0,False,0,False,few clouds,False,False,3.18,2016-10-10 09:00:00+00,False,,259.5,1.56
56,20,False,45,False,40.73163,-117.05211,859.4,0.0,False,0,False,few clouds,False,False,3.18,2016-10-10 09:00:00+00,False,,259.5,1.56
57,20,False,45,False,40.63479,-116.94458,859.4,0.0,False,0,False,few clouds,False,False,3.18,2016-10-10 09:00:00+00,False,,259.5,1.56
58,20,False,45,False,40.64951,-116.76269,859.4,0.0,False,0,False,few clouds,False,False,3.18,2016-10-10 09:00:00+00,False,,259.5,1.56
59,20,False,45,False,40.6961,-116.55647,859.4,0.0,False,0,False,few clouds,False,False,3.18,2016-10-10 09:00:00+00,False,,259.5,1.56
60,8,False,45,False,40.66083,-116.4252,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
61,8,False,45,False,40.64538,-116.31531,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
62,8,False,45,False,40.66127,-116.24212,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
63,8,False,45,False,40.7018,-116.17032,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
64,8,False,45,False,40.72474,-116.07504,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
65,8,False,45,False,40.74532,-115.94523,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
66,8,False,45,False,40.81296,-115.82071,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
67,8,False,45,False,40.87993,-115.71741,832.17,0.0,False,0,False,clear sky,False,True,0.76,2016-10-10 09:00:00+00,False,,212.0,1.41
